closure_group_id,rca,ur,graph_children,length_m,lat,lon
{1afb4224-9936-47ac-a450-c9ffc4544094},Waka Kotahi NZ Transport Agency,rural,11,10197,-39.24239,174.21017
{06c4602b-4ba9-4550-a49d-80e3dc024711},Waka Kotahi NZ Transport Agency,rural,17,9857,-38.03685,176.80379
{065a1c15-e526-4eea-a514-094c6e6b0ea3},Waka Kotahi NZ Transport Agency,rural,12,9818,-42.71775,173.28746
{52b1dce5-8d0f-4172-90f2-c68a4fe9b3a7},Waka Kotahi NZ Transport Agency,rural,23,9775,-38.00721,175.31004
{b0922266-87ed-4323-a9b0-132019e9038f},Waka Kotahi NZ Transport Agency,rural,12,9417,-37.52223,175.65320
{060919f6-ad35-473f-9bee-c3cff97234ee},Waka Kotahi NZ Transport Agency,rural,9,8877,-43.14639,172.72945
{14d7587d-088e-4259-9fae-0d17314f90eb},Waka Kotahi NZ Transport Agency,rural,10,8864,-42.32344,173.71526
{0c6d4f6f-123d-4867-8bd9-96280f5fc8f2},Waka Kotahi NZ Transport Agency,rural,18,8591,-39.00075,174.29570
{0abffcc2-a328-4355-bbd5-5de79ac2f3b4},Waka Kotahi NZ Transport Agency,rural,7,8558,-39.80735,175.78602
{9987eafc-d83b-49dd-ab11-2b591a6d0e52},Waka Kotahi NZ Transport Agency,rural,13,8184,-36.97767,175.45112
{09ccc2d6-ef85-48f2-9855-bd19f4b7840b},Waka Kotahi NZ Transport Agency,rural,17,8115,-37.29522,175.63973
{0e69b22a-4ac1-4cee-9eae-9e9de01d1503},Waka Kotahi NZ Transport Agency,rural,3,8088,-41.71169,172.63546
{e7fa6fc9-820f-485b-a4ec-345989788c3d},Waka Kotahi NZ Transport Agency,rural,11,8036,-45.91420,169.61740
{edac1b5f-f857-4abd-b04c-1e5851b6b60a},Waka Kotahi NZ Transport Agency,rural,17,7982,-40.41164,175.48092
{f8f85f91-af25-4c5d-bfc5-6af892018a70},Waka Kotahi NZ Transport Agency,rural,16,7978,-43.48835,172.00907
{f3134034-eaf3-4413-9956-1314fab7110d},Waka Kotahi NZ Transport Agency,rural,14,7907,-38.00449,177.19200
{ca594bf5-8adf-4966-90cb-f55d73419568},Waka Kotahi NZ Transport Agency,rural,4,7284,-41.90292,171.90218
{7310709d-d8e0-423c-971b-2a5b3c0846b1},Waka Kotahi NZ Transport Agency,rural,11,7176,-42.42233,171.40418
{014e95b6-dab3-449d-b5b6-40cc5a4cca23},Waka Kotahi NZ Transport Agency,rural,4,6971,-43.59983,171.59357
{4c1925bf-8571-4f35-950e-30df16846304},Waka Kotahi NZ Transport Agency,rural,12,6891,-39.15294,174.12020
{6f7c558f-73a6-48a6-9788-3cc45b4ce9aa},Waka Kotahi NZ Transport Agency,rural,3,6789,-43.56470,172.52204
{696cae9c-f78a-40ba-8492-8371154c009d},Waka Kotahi NZ Transport Agency,rural,4,6772,-43.56492,172.50847
{f33f3bc4-f120-4141-8336-65bcde0099b6},Waka Kotahi NZ Transport Agency,rural,2,6355,-42.76603,171.35858
{df7e9757-3cdc-4f47-830a-bbcfb59ea515},Waka Kotahi NZ Transport Agency,rural,27,6304,-43.60038,172.55999
{04bc7043-728b-47a2-b49d-068cf3dffb61},Waka Kotahi NZ Transport Agency,rural,1,6251,-41.57311,171.90377
{7666d4ed-5f0d-4822-b2b5-7769b99751f5},Waka Kotahi NZ Transport Agency,rural,10,6229,-39.02165,177.41012
{0ca3a3c0-0747-4266-aade-e43a3d2edc0d},Waka Kotahi NZ Transport Agency,rural,4,6219,-39.02028,175.65666
{eb408e81-c4df-4851-b3e4-e77fa057a652},Waka Kotahi NZ Transport Agency,rural,9,6146,-38.99663,174.39682
{6bfffae1-c78e-4535-b150-3ac67b1e895d},Waka Kotahi NZ Transport Agency,rural,12,6146,-37.98540,175.67276
{34ba9163-524e-4924-9a78-f12e0e756e51},Waka Kotahi NZ Transport Agency,rural,2,6103,-44.01174,169.38248
{0a4c2a39-94d3-4e80-8c18-49e79de41e33},Waka Kotahi NZ Transport Agency,rural,1,6097,-43.45027,170.05211
{27600619-1155-493a-9fce-065797553cb0},Waka Kotahi NZ Transport Agency,rural,9,6086,-40.31715,175.52813
{48075264-3281-41d0-b5ea-fa0d1ac5bc08},Waka Kotahi NZ Transport Agency,rural,6,5837,-42.62117,171.12983
{0f4bc57c-c805-49b9-819a-0fb2a13e422a},Waka Kotahi NZ Transport Agency,rural,9,5825,-43.27542,172.68929
{080442c1-4cf9-439e-b13f-725402c36c50},Waka Kotahi NZ Transport Agency,rural,2,5640,-43.71206,169.49687
{36d29481-ab8b-4b9e-a743-596c79e8867f},Waka Kotahi NZ Transport Agency,rural,9,5463,-37.99657,176.83107
{283220d5-785e-4404-8d58-3d0c2a953275},Waka Kotahi NZ Transport Agency,rural,7,5374,-43.77719,171.63395
{7a856886-3a6b-4c28-933d-b01f56623a15},Waka Kotahi NZ Transport Agency,rural,4,5367,-37.23254,175.40763
{7706bde4-1bf5-4907-804a-c4a2f324cbd5},Waka Kotahi NZ Transport Agency,rural,1,5246,-38.72420,176.09641
{03948c98-bb5c-4bb6-a63b-530260f36e2e},Waka Kotahi NZ Transport Agency,rural,8,5168,-38.00077,175.77281
{6e814312-0806-4d3e-9bed-a524ce132a09},Waka Kotahi NZ Transport Agency,rural,3,5139,-38.66756,178.09857
{9f465236-cd6a-4f1d-9ece-55df0489045e},Waka Kotahi NZ Transport Agency,rural,11,5007,-37.03015,175.50748
{b83a2104-7f38-47b9-9579-d9de4ee01aeb},Waka Kotahi NZ Transport Agency,rural,14,5006,-37.90343,175.85354
{076902d9-8063-46ce-a2f1-6bdbea99b5f2},Waka Kotahi NZ Transport Agency,rural,11,4968,-42.46245,171.26721
{18836889-d6bc-44b5-bba3-fa951a1c704e},Waka Kotahi NZ Transport Agency,rural,21,4925,-42.51232,171.16760
{26414722-10e0-4409-b946-a9c848f03198},Waka Kotahi NZ Transport Agency,rural,3,4885,-38.43117,176.51633
{b4c25eeb-1c6b-46fd-be6e-442e2808696b},Waka Kotahi NZ Transport Agency,rural,6,4851,-42.18061,171.72753
{f9d81478-7c35-4635-8fb0-918604608e7c},Waka Kotahi NZ Transport Agency,rural,8,4823,-38.23561,175.18797
{2d546c0d-8858-44ff-92ae-e9f1987fbb1e},Waka Kotahi NZ Transport Agency,rural,7,4765,-46.16324,169.83036
{f2abbc8e-ca28-401e-a045-59079421a9b1},Waka Kotahi NZ Transport Agency,rural,5,4740,-40.27614,175.55650
{0f9e4423-9bc8-413f-a329-cdb494b41ab5},Waka Kotahi NZ Transport Agency,rural,5,4650,-41.27723,174.77337
{6b17d126-383f-4d26-9280-941f666e41d0},Waka Kotahi NZ Transport Agency,rural,14,4521,-38.08406,176.70072
{65bbe984-1e2d-476e-b2f3-656ece553082},Waka Kotahi NZ Transport Agency,rural,6,4465,-41.08367,174.86873
{4f4d58aa-06c7-410b-bd3b-3b190a8e0787},Waka Kotahi NZ Transport Agency,rural,1,4451,-44.09016,169.36783
{d7aae068-899c-447b-b53b-b46fda904d92},Waka Kotahi NZ Transport Agency,rural,3,4417,-43.15651,170.50710
{5be88d13-14e9-489b-bb03-1bdd94a6bf3b},Waka Kotahi NZ Transport Agency,rural,2,4385,-43.94353,169.27378
{b2aeee58-ffa7-4d4a-af45-03c933d90634},Waka Kotahi NZ Transport Agency,rural,4,4380,-40.30765,175.55728
{00d52547-eca0-4788-8501-f4d1d6c5000b},Waka Kotahi NZ Transport Agency,rural,7,4374,-38.08217,175.34042
{3471d620-c662-4ade-8111-65f849d59635},Waka Kotahi NZ Transport Agency,rural,1,4346,-35.67553,173.57529
{836e26a4-e7e5-4c3c-98b2-d79c5b225db3},Waka Kotahi NZ Transport Agency,rural,2,4312,-43.77454,169.13447
{33ecc52f-a75a-4dbb-9c21-cce1a536db47},Waka Kotahi NZ Transport Agency,rural,9,4254,-39.02075,174.19642
{1b28c72d-657c-48b6-90a9-617399668c8d},Waka Kotahi NZ Transport Agency,rural,2,4135,-38.07287,176.66786
{4c4b8fa2-80a0-4603-84ed-6528b0822179},Waka Kotahi NZ Transport Agency,rural,4,4129,-41.70840,171.76638
{1f450202-4464-463a-8153-45541f38b011},Waka Kotahi NZ Transport Agency,rural,3,4122,-43.28502,170.30816
{794df6fb-a3b3-48af-bc29-6044f5d4e136},Waka Kotahi NZ Transport Agency,rural,4,4022,-43.15554,170.58894
{87d91b5a-d6b5-40c6-8c2b-09ab0e279ce2},Waka Kotahi NZ Transport Agency,rural,4,3998,-37.97234,176.79403
{68996f89-3b75-443d-8a88-d4bcc367f066},Waka Kotahi NZ Transport Agency,rural,10,3984,-38.69068,178.05024
{0e54740a-abaf-486a-afa3-6c3f6efa2ac1},Waka Kotahi NZ Transport Agency,rural,6,3980,-37.98068,176.76779
{bda01f2d-4765-4cd9-aecb-9b8c7c6fca07},Waka Kotahi NZ Transport Agency,rural,1,3976,-35.61227,173.54669
{30efe377-aa0a-4c39-985a-8ab0c5e8708f},Waka Kotahi NZ Transport Agency,rural,6,3958,-37.91746,178.27078
{2026aa10-7c98-4ac7-8341-97c1d394c925},Waka Kotahi NZ Transport Agency,rural,6,3943,-37.90887,175.31514
{dbfe16f6-14d7-4b51-9aaa-af66db3953ef},Waka Kotahi NZ Transport Agency,rural,4,3914,-37.16320,175.61213
{c804ae97-9517-4226-a635-517d2e1028c6},Waka Kotahi NZ Transport Agency,urban,14,3906,-43.48451,172.61624
{ed7e8924-0470-4e3f-b6b9-81b4730c200c},Waka Kotahi NZ Transport Agency,rural,11,3900,-43.48218,172.61656
{ef9a512a-be4a-4696-9aee-48ab9fb6247c},Waka Kotahi NZ Transport Agency,rural,7,3881,-38.05189,176.74301
{95c9131f-dab5-4b89-8478-9c20f2ae965a},Waka Kotahi NZ Transport Agency,rural,1,3778,-38.48626,176.05341
{c81f98dd-8610-4c31-a41a-8ad87864fa7d},Waka Kotahi NZ Transport Agency,rural,3,3702,-37.92474,175.67910
{00f250d1-fd59-479b-b536-55ad8e1771fa},Waka Kotahi NZ Transport Agency,rural,11,3697,-37.20875,175.57820
{5473ac04-d069-4856-973c-f869b17580fe},Waka Kotahi NZ Transport Agency,rural,7,3687,-37.23141,175.61068
{e96e3c16-6792-4b93-a8c2-95a0bd9168ab},Waka Kotahi NZ Transport Agency,rural,3,3648,-35.62300,173.84144
{607a181f-e296-4268-8467-fd3b1995dcc5},Waka Kotahi NZ Transport Agency,rural,12,3503,-40.38843,175.63693
{23c1be12-0422-4177-b295-ea257197e0f1},Waka Kotahi NZ Transport Agency,rural,4,3502,-42.02206,171.86929
{9ca337c9-9b50-42a2-9bc2-87da701018e0},Waka Kotahi NZ Transport Agency,rural,4,3447,-35.54028,173.83261
{c1280b3b-6167-4b23-aafd-7f14b928255c},Waka Kotahi NZ Transport Agency,rural,2,3435,-43.43867,172.62405
{7a8b2370-e6d6-49ff-8b8e-c72830eb85e1},Waka Kotahi NZ Transport Agency,rural,9,3423,-40.40748,175.60754
{052daf1a-882b-4940-98ca-a3ce03241824},Waka Kotahi NZ Transport Agency,rural,1,3405,-37.15611,175.69203
{c570251d-3b57-4ab4-88d0-806e0a5028c9},Waka Kotahi NZ Transport Agency,rural,1,3404,-42.78297,171.60807
{c9d6dee3-3b79-4493-b600-d1444d27cbed},Waka Kotahi NZ Transport Agency,rural,5,3384,-38.70573,177.91250
{e7543623-95a0-404a-9523-1e21ac910b8d},Waka Kotahi NZ Transport Agency,rural,3,3373,-42.33846,171.57412
{b73e56d8-83a6-4fe0-99b1-95edfc0ca338},Waka Kotahi NZ Transport Agency,rural,10,3294,-42.28404,171.67550
{faaad71d-e743-4315-96c6-19545688b0be},Waka Kotahi NZ Transport Agency,rural,4,3275,-39.30601,174.46610
{050a935f-f567-45af-90de-a9b2c8b78b42},Waka Kotahi NZ Transport Agency,rural,4,3269,-37.28544,175.34355
{1d744465-a5e1-42fc-a8be-28092a13946b},Waka Kotahi NZ Transport Agency,rural,5,3245,-42.32624,172.18415
{b20844aa-ff64-4b1e-9bb4-547cd1efa8e1},Waka Kotahi NZ Transport Agency,rural,5,3189,-35.68591,173.88844
{bc978aa2-9aaa-40b3-9c8c-27dadb354ad8},Waka Kotahi NZ Transport Agency,rural,6,3182,-37.70102,176.15103
{53a4786c-bd8f-4805-a9cd-7057a0a15b45},Waka Kotahi NZ Transport Agency,rural,1,3101,-43.40669,170.10390
{0ca90dea-866b-4da3-9880-65fa62bdb3ae},Waka Kotahi NZ Transport Agency,rural,6,3095,-37.71174,175.33792
{b71791e3-bf2c-41f0-9efe-6bbe7b77ddaa},Waka Kotahi NZ Transport Agency,rural,7,3048,-35.13949,173.33976
