closure_group_id,rca,length_m,lat,lon
{52bb3e5e-3ca1-439f-be49-1f4b738e73ee},Hastings District Council,22682,-39.81275,176.92134
{4378b1e4-8a4f-495f-beee-cf21c1062967},Hastings District Council,22418,-39.59600,176.50022
{af57765f-6f19-4823-a7f2-2bdfea14ea1d},Waikato District Council,22406,-37.54792,175.00263
{0ab34a89-c96c-46c0-938e-a8b34f414eb7},Selwyn District Council,22158,-43.69076,171.81300
{faa4c976-590f-4683-8324-63e555a08254},South Waikato District Council,21730,-38.07613,175.81662
{38263a7a-ad55-424f-9478-d3cf59b7b61f},Land Information New Zealand,21354,-42.27581,171.56172
{b962def4-6562-46fa-855c-105511450ceb},Kaipara District Council,21283,-36.09747,174.23920
{fe589166-9d44-4546-bf93-f59e4d6a1845},Land Information New Zealand,21185,-38.97549,176.82182
{0c371b01-5caa-4972-aba7-dbfac753c743},Waipa District Council,21066,-38.01542,175.33067
{1be7ae5d-347b-4900-81d6-fec6c4727aeb},Land Information New Zealand,21036,-38.75279,176.45131
{31576286-9260-4b4d-8b16-41e3f6148815},Waikato District Council,20735,-37.61070,175.19136
{c2457080-760f-46ef-bbf8-04bbe1b5710c},Waka Kotahi NZ Transport Agency,20083,-38.03697,175.86016
{d923100a-115a-46ef-936b-5c889502eb35},Selwyn District Council,20039,-43.68200,171.89881
{2b354222-bb1c-4b46-b8a4-9def72d96b80},Mackenzie District Council,20022,-44.22000,169.87987
{cd5427d5-179b-447f-9336-b4b09cded555},Ashburton District Council,20016,-43.57336,171.15553
{de396645-e9a9-42e8-bcb6-74ab0be1e63d},Whangarei District Council,19992,-35.68066,174.33878
{c463ea30-36d3-47bb-9384-2fb95b625f48},Land Information New Zealand,19986,-41.75343,173.53054
{44641f1f-a315-447f-ac7b-6767ee622d57},Selwyn District Council,19957,-43.64072,172.11114
{9f59076e-f9b1-4505-b0a7-c8e74a4f45cd},Hastings District Council,19894,-39.50911,176.64275
{c76e0ee4-72ab-4220-91e4-54f0f1067a18},Whangarei District Council,19712,-35.71347,174.40268
{70fa7586-852a-4dcd-8a18-2bdbc3445cb0},Whakatane District Council,19635,-38.64785,176.87569
